#,nl,bash
1,I want to make a new empty text file called notes on my desktop,touch ~/Desktop/notes.txt
2,create an empty file named todo in my documents folder,touch ~/Documents/todo.txt
3,make a blank file called readme inside my projects folder,touch ~/projects/readme.md
4,I need an empty log file in my downloads folder,touch ~/Downloads/debug.log
5,make a brand new folder called photos in my home directory,mkdir ~/photos
6,create a folder named backups on my desktop,mkdir ~/Desktop/backups
7,I want a new directory called invoices inside documents,mkdir ~/Documents/invoices
8,make a folder called april2026 inside my reports folder,mkdir ~/reports/april2026
9,how do I make a folder inside another folder that doesnt exist yet,mkdir -p ~/projects/myapp/src/components
10,create the whole folder path documents slash work slash 2026 slash q2 in one go,mkdir -p ~/Documents/work/2026/q2
11,I want to make several nested folders for organizing my photos by year and month,"mkdir -p ~/Pictures/2026/{01,02,03,04,05,06,07,08,09,10,11,12}"
12,set up a typical project folder layout under newapp with src tests and docs,"mkdir -p ~/projects/newapp/{src,tests,docs}"
13,make me a folder for each weekday inside my schedule folder,"mkdir -p ~/schedule/{monday,tuesday,wednesday,thursday,friday}"
14,I want to create a quick file with the text hello world in it,echo 'hello world' > ~/hello.txt
15,make a file called config.txt with the line debug equals true inside it,echo 'debug=true' > ~/config.txt
16,create a shopping list file with three items milk eggs bread,printf 'milk\neggs\nbread\n' > ~/Documents/shopping.txt
17,I need a small shell script file that just prints hi,printf '#!/bin/bash\necho hi\n' > ~/scripts/hi.sh
18,save a multi line note about my meeting today into a file,"cat > ~/Documents/meeting.txt <<'EOF'
Meeting with team
Discussed Q2 roadmap
Next steps: send recap
EOF"
19,write a quick readme with three lines of content into my new project folder,"cat > ~/projects/newapp/README.md <<'EOF'
# newapp
A small experiment.
Run with: ./start.sh
EOF"
20,make a temporary scratch file I can use for a moment,mktemp
21,I want a temp file with a name I can save and reuse,mktemp /tmp/scratch.XXXXXX
22,create a temporary folder I can dump files into for now,mktemp -d
23,make a one gigabyte placeholder file for testing,truncate -s 1G ~/Downloads/placeholder.bin
24,I need a 500 megabyte dummy file to test upload speeds,truncate -s 500M ~/Downloads/dummy.bin
25,create a 10 megabyte test file in tmp,truncate -s 10M /tmp/test10mb.bin
26,make a copy of my resume so I can edit one version safely,cp ~/Documents/resume.pdf ~/Documents/resume_backup.pdf
27,I want to make a copy of this file before I edit it,cp ~/projects/myapp/config.yaml ~/projects/myapp/config.yaml.bak
28,duplicate the notes file as notes2,cp ~/Documents/notes.txt ~/Documents/notes2.txt
29,copy my budget spreadsheet to the desktop,cp ~/Documents/budget.xlsx ~/Desktop/budget.xlsx
30,put a copy of the slides into the shared folder,cp ~/Documents/slides.pptx ~/shared/slides.pptx
31,copy the whole projects folder to my external drive mount point,cp -r ~/projects /mnt/external/projects
32,make a full copy of my pictures folder onto the desktop,cp -r ~/Pictures ~/Desktop/Pictures_copy
33,copy the entire myapp directory into the archive folder,cp -r ~/projects/myapp ~/archive/myapp
34,I want to copy the receipts folder including everything inside it,cp -r ~/Documents/receipts ~/Documents/receipts_2025
35,copy this file but keep the original date and permissions intact,cp -p ~/Documents/contract.pdf ~/Desktop/contract.pdf
36,duplicate the log file but preserve its timestamps,cp -p /var/log/syslog ~/syslog_snapshot
37,copy these photos but only overwrite if mine are older,cp -u ~/Pictures/*.jpg /mnt/backup/Pictures/
38,sync documents to backup but only replace files that have changed,cp -ru ~/Documents/* /mnt/backup/Documents/
39,copy the config file but make a numbered backup of any existing version,cp --backup=numbered ~/.bashrc ~/.bashrc.new
40,copy three different files into my reports folder,cp ~/Documents/q1.pdf ~/Documents/q2.pdf ~/Documents/q3.pdf ~/reports/
41,put all my pdf files into a single folder called pdfs,cp ~/Documents/*.pdf ~/Documents/pdfs/
42,copy every jpg from downloads into my pictures folder,cp ~/Downloads/*.jpg ~/Pictures/
43,I need to copy the hidden config files from my old account folder,cp -r /home/olduser/.config ~/.config_old
44,copy all dotfiles including hidden ones from this folder to backup,cp -a ~/myconfig/. ~/backup_myconfig/
45,rename this file from draft to final,mv ~/Documents/draft.docx ~/Documents/final.docx
46,change the name of the photos folder to memories,mv ~/photos ~/memories
47,rename my screenshot file to something more descriptive,mv ~/Pictures/Screenshot.png ~/Pictures/login_error_screenshot.png
48,move my resume from downloads into documents,mv ~/Downloads/resume.pdf ~/Documents/resume.pdf
49,shift this video file to my videos folder,mv ~/Downloads/movie.mp4 ~/Videos/movie.mp4
50,move the whole reports folder into the archive folder,mv ~/reports ~/archive/reports
51,transfer all jpg files from downloads to pictures,mv ~/Downloads/*.jpg ~/Pictures/
52,move every pdf out of downloads into documents,mv ~/Downloads/*.pdf ~/Documents/
53,I want to rename a bunch of files at once and put a prefix on them,"for f in ~/Pictures/IMG_*.jpg; do mv ""$f"" ""$(dirname ""$f"")/vacation_$(basename ""$f"")""; done"
54,rename every txt file in this folder to have a 2026 prefix,"for f in ~/Documents/notes/*.txt; do mv ""$f"" ""$(dirname ""$f"")/2026_$(basename ""$f"")""; done"
55,change the extension of all my htm files to html,"for f in ~/site/*.htm; do mv ""$f"" ""${f%.htm}.html""; done"
56,rename all jpeg files to jpg,"for f in ~/Pictures/*.jpeg; do mv ""$f"" ""${f%.jpeg}.jpg""; done"
57,move this file but only if a file with that name doesnt already exist at the destination,mv -n ~/Downloads/report.pdf ~/Documents/report.pdf
58,shift my photos into the archive but dont overwrite anything that is already there,mv -n ~/Pictures/2025/* ~/archive/photos/2025/
59,delete the file called old notes from my desktop,rm ~/Desktop/old_notes.txt
60,throw away this temp file,rm /tmp/scratch.txt
61,remove the broken download from my downloads folder,rm ~/Downloads/installer.dmg
62,I want to get rid of this entire old project folder,rm -r ~/projects/old_prototype
63,delete the trash folder on my desktop and everything inside it,rm -r ~/Desktop/trash
64,wipe out the cache folder for my app,rm -r ~/.cache/myapp
65,force delete this stubborn file that wont go away,rm -f ~/Downloads/.DS_Store
66,delete every tmp file in the temp folder without asking,rm -f /tmp/*.tmp
67,delete this file but ask me to confirm first,rm -i ~/Documents/important.doc
68,remove every log file in this folder but prompt me before each one,rm -i ~/logs/*.log
69,delete every file ending in dot bak in my projects folder,find ~/projects -type f -name '*.bak' -delete
70,remove all the empty zero size files from downloads,find ~/Downloads -type f -empty -delete
71,find and delete all the ds store junk files in my pictures,find ~/Pictures -type f -name '.DS_Store' -delete
72,delete every log file older than 30 days in my logs folder,find ~/logs -type f -name '*.log' -mtime +30 -delete
73,securely wipe this sensitive file so nobody can recover it,shred -u ~/Documents/secrets.txt
74,permanently destroy this old tax document with no chance of recovery,shred -u -n 5 ~/Documents/tax_2018.pdf
75,empty out this log file without deleting it,truncate -s 0 ~/logs/app.log
76,clear the contents of this debug file but keep the file there,truncate -s 0 ~/projects/myapp/debug.log
77,delete this empty folder,rmdir ~/Documents/empty_folder
78,remove the empty draft directory,rmdir ~/projects/myapp/drafts
79,delete all empty subfolders inside my downloads,find ~/Downloads -type d -empty -delete
