#,nl,bash
1,lock this configuration file so it cant be changed at all,sudo chattr +i /etc/resolv.conf
2,unlock the immutable flag on my hosts file,sudo chattr -i /etc/hosts
3,I want to copy something into the etc folder but it says permission denied,sudo cp ~/Documents/nginx.conf /etc/nginx/nginx.conf
4,save my new config file into etc but I cant write there,sudo cp ~/myresolv.conf /etc/resolv.conf
5,edit the hosts file it wont let me save,sudo nano /etc/hosts
6,I need to add a line to my fstab but it says read only,echo '/dev/sdb1 /mnt/data ext4 defaults 0 2' | sudo tee -a /etc/fstab
7,write a new ssh config file to etc ssh I dont have permission,sudo cp ~/Documents/sshd_config /etc/ssh/sshd_config
8,create a new file in etc cron daily called backup,sudo touch /etc/cron.daily/backup
9,make this script in etc cron daily executable,sudo chmod +x /etc/cron.daily/backup
10,delete the leftover old config file in etc nginx sites available,sudo rm /etc/nginx/sites-available/old_site.conf
11,I want to remove a file from var log but it says operation not permitted,sudo rm /var/log/old_app.log
12,rename the postgres config in etc postgresql to a backup name,sudo mv /etc/postgresql/14/main/postgresql.conf /etc/postgresql/14/main/postgresql.conf.bak
13,move my custom motd into etc its blocked otherwise,sudo mv ~/motd /etc/motd
14,change the owner of this folder under var www to my user,sudo chown -R $USER:$USER /var/www/html
15,give myself ownership of the nginx html folder,sudo chown -R $USER:$USER /var/www/html
16,change ownership of the logs folder to www-data,sudo chown -R www-data:www-data /var/log/nginx
17,set the group of this system folder to admin,sudo chgrp -R admin /opt/myapp
18,I cant change permissions on this system file,sudo chmod 644 /etc/ssh/sshd_config
19,set the permissions of this protected file to 600,sudo chmod 600 /etc/ssh/ssh_host_ed25519_key
20,make this binary in usr local bin executable I cant from my account,sudo chmod +x /usr/local/bin/myapp
21,copy my new shell script to usr local bin so everyone can run it,sudo cp ~/scripts/sysinfo.sh /usr/local/bin/sysinfo && sudo chmod +x /usr/local/bin/sysinfo
22,create a new folder under opt called myapp,sudo mkdir /opt/myapp
23,make a folder called shared inside var,sudo mkdir /var/shared
24,I want to install a script into etc profile.d to set environment variables for everyone,sudo cp ~/Documents/myenv.sh /etc/profile.d/myenv.sh && sudo chmod 644 /etc/profile.d/myenv.sh
25,make this file immutable so even root cant accidentally change it,sudo chattr +i /etc/sysctl.conf
26,lock the dns resolver so something doesnt keep rewriting it,sudo chattr +i /etc/resolv.conf
27,I want to truncate this protected log file to zero,sudo truncate -s 0 /var/log/syslog
28,make a hard link from my custom binary into usr local bin,sudo ln /opt/myapp/bin/myapp /usr/local/bin/myapp
29,set up a symlink from etc nginx sites enabled to sites available,sudo ln -s /etc/nginx/sites-available/blog.conf /etc/nginx/sites-enabled/blog.conf
30,delete the symlink in sites enabled it has a leftover,sudo rm /etc/nginx/sites-enabled/default
31,extract this tar file into opt where I cant write,sudo tar xzf ~/Downloads/myapp.tar.gz -C /opt/
32,I want to clean up old logs in var log it says permission denied,sudo find /var/log -type f -name '*.gz' -mtime +30 -delete
33,delete every old archived log under var log nginx,sudo find /var/log/nginx -type f -name '*.gz' -mtime +60 -delete
34,I need to wipe this log file but I cant edit it,sudo truncate -s 0 /var/log/auth.log
35,edit the sudoers file safely,sudo visudo
36,change the group of this system binary to staff,sudo chgrp staff /usr/local/bin/customtool
37,compress this protected log into an archive in tmp,sudo tar czf /tmp/auth_backup.tar.gz /var/log/auth.log
38,make this folder under etc readable by everyone but only writable by root,sudo chmod -R 755 /etc/myapp
39,append a new line into my apt sources list,echo 'deb http://archive.ubuntu.com/ubuntu jammy-backports main' | sudo tee -a /etc/apt/sources.list
40,write a new dns server line into resolv conf,echo 'nameserver 1.1.1.1' | sudo tee -a /etc/resolv.conf
41,I want to install a script into etc that runs on every boot but it says read only,sudo cp ~/scripts/onboot.sh /etc/init.d/onboot && sudo chmod +x /etc/init.d/onboot
42,delete the user home directory of a removed account,sudo rm -r /home/olduser
43,create a new shared folder under srv with proper permissions,sudo mkdir /srv/shared && sudo chown root:users /srv/shared && sudo chmod 2775 /srv/shared
44,make a new directory under usr local share for my fonts,sudo mkdir -p /usr/local/share/fonts/custom
45,copy these font files into the system fonts folder,sudo cp ~/Downloads/*.ttf /usr/local/share/fonts/custom/
46,set the permission so a folder under var lib is owned by the postgres user,sudo chown -R postgres:postgres /var/lib/postgresql
47,write a quick file with my dns settings into etc systemd resolved.conf,sudo cp ~/Documents/resolved.conf /etc/systemd/resolved.conf
48,create the folder under etc called myservice and a config file inside it,sudo mkdir -p /etc/myservice && sudo cp ~/Documents/myservice.conf /etc/myservice/config.yaml
49,remove an old configuration directory under etc that I no longer use,sudo rm -r /etc/oldservice
50,install a new udev rule into etc udev rules.d,sudo cp ~/Documents/99-mykeyboard.rules /etc/udev/rules.d/99-mykeyboard.rules
51,the var lib docker folder is huge how do I clean it up safely,sudo find /var/lib/docker/tmp -type f -mtime +7 -delete
52,delete every old crash report file in var crash,sudo find /var/crash -type f -name '*.crash' -mtime +14 -delete
53,remove old kernel files from boot that I dont need,sudo apt autoremove --purge
54,install nginx but it says i need permission,sudo apt install -y nginx
55,i need to install vlc,sudo apt install -y vlc
56,install git for me,sudo apt install -y git
57,get firefox installed,sudo apt install -y firefox
58,install python3 and pip,sudo apt install -y python3 python3-pip
59,install node and npm,sudo apt install -y nodejs npm
60,install build tools so i can compile stuff,sudo apt install -y build-essential
61,install postgres database,sudo apt install -y postgresql postgresql-contrib
62,install mysql server,sudo apt install -y mysql-server
63,get docker installed,sudo apt install -y docker.io
64,install the latest curl,sudo apt install -y curl
65,apt says i dont have permission to install vim,sudo apt install -y vim
66,install htop so i can see processes,sudo apt install -y htop
67,get tmux installed,sudo apt install -y tmux
68,install ffmpeg for video conversion,sudo apt install -y ffmpeg
69,uninstall libreoffice i dont use it,sudo apt remove -y libreoffice-*
70,remove the old version of php,sudo apt remove -y php7.4 php7.4-*
71,get rid of snapd entirely,sudo apt remove --purge -y snapd
72,update the list of available packages,sudo apt update
73,install all available updates,sudo apt upgrade -y
74,do a full system upgrade,sudo apt full-upgrade -y
75,autoremove unused packages,sudo apt autoremove -y
76,clean up the apt cache to save space,sudo apt clean
77,fix broken packages it wont let me,sudo apt --fix-broken install
78,reinstall the linux headers,sudo apt install --reinstall -y linux-headers-$(uname -r)
79,add a new apt repository for vscode,sudo add-apt-repository -y 'deb [arch=amd64] https://packages.microsoft.com/repos/code stable main'
80,install the .deb package i downloaded,sudo dpkg -i ~/Downloads/package.deb
81,force remove this stuck package,sudo dpkg --remove --force-remove-reinstreq broken-package
82,edit the apt sources list it says read only,sudo nano /etc/apt/sources.list
83,modify my dns settings in resolv.conf,sudo nano /etc/resolv.conf
84,edit the sudoers file,sudo visudo
85,change the system hostname,sudo hostnamectl set-hostname mydesktop
86,set the timezone to new york,sudo timedatectl set-timezone America/New_York
87,sync clock with internet time,sudo timedatectl set-ntp true
88,add a line to my system hosts file,echo '192.168.1.50 myserver.local' | sudo tee -a /etc/hosts
89,update the motd login message,echo 'Welcome to the office server' | sudo tee /etc/motd
90,edit the ssh server config,sudo nano /etc/ssh/sshd_config
91,change the default editor system wide,sudo update-alternatives --config editor
92,set vim as the default editor,sudo update-alternatives --set editor /usr/bin/vim.basic
93,start nginx,sudo systemctl start nginx
94,stop apache,sudo systemctl stop apache2
95,restart the web server,sudo systemctl restart nginx
96,reload nginx after my config change,sudo systemctl reload nginx
97,restart the database,sudo systemctl restart postgresql
98,enable docker to start at boot,sudo systemctl enable docker
99,disable bluetooth from starting on boot,sudo systemctl disable bluetooth
100,turn off the cups print service,sudo systemctl stop cups && sudo systemctl disable cups
101,mask the snapd service so it never starts,sudo systemctl mask snapd.service
102,unmask the firewall service,sudo systemctl unmask ufw
103,start the firewall and enable at boot,sudo systemctl enable --now ufw
104,reload systemd after editing a unit file,sudo systemctl daemon-reload
105,flush my dns cache,sudo systemd-resolve --flush-caches
106,renew my dhcp lease,sudo dhclient -r && sudo dhclient
107,set a static ip address on eth0,sudo nmcli con mod 'Wired connection 1' ipv4.method manual ipv4.addresses 192.168.1.50/24 ipv4.gateway 192.168.1.1
108,open port 80 in the firewall,sudo ufw allow 80/tcp
109,open port 443 for https,sudo ufw allow 443/tcp
110,allow ssh through the firewall,sudo ufw allow 22/tcp
111,block port 8080,sudo ufw deny 8080/tcp
112,see my firewall rules,sudo ufw status verbose
113,enable the firewall,sudo ufw enable
114,turn on rate limiting for ssh,sudo ufw limit 22/tcp
115,add a new user named alice,sudo adduser alice
116,delete the old user named bob,sudo deluser --remove-home bob
117,add my user to the docker group,sudo usermod -aG docker $USER
118,add myself to the sudo group,sudo usermod -aG sudo $USER
119,remove alice from the sudo group,sudo gpasswd -d alice sudo
120,create a new group called developers,sudo groupadd developers
121,change alice's password,sudo passwd alice
122,lock the bob account,sudo usermod -L bob
123,unlock the bob account,sudo usermod -U bob
124,change my login shell to zsh,sudo chsh -s /usr/bin/zsh $USER
125,give myself ownership of opt myapp,sudo chown -R $USER:$USER /opt/myapp
126,make this binary in usr local bin owned by root,sudo chown root:root /usr/local/bin/myapp
127,set var www to be owned by www-data,sudo chown -R www-data:www-data /var/www
128,fix the ownership of my postgres data dir,sudo chown -R postgres:postgres /var/lib/postgresql
129,make /opt readable by everyone,sudo chmod -R o+r /opt/sharedapp
130,set the setuid bit on this binary so it runs as root,sudo chmod u+s /usr/local/bin/myhelper
131,remove the setuid bit from this binary,sudo chmod u-s /usr/local/bin/myhelper
132,make the sticky bit set on /tmp,sudo chmod +t /tmp
133,create a new systemd unit file for my app,sudo nano /etc/systemd/system/myapp.service
134,write a new cron job in etc cron daily,sudo nano /etc/cron.daily/backup-task
135,add a new udev rule for my usb device,sudo nano /etc/udev/rules.d/99-myusb.rules
136,reload udev rules after editing,sudo udevadm control --reload-rules && sudo udevadm trigger
137,regenerate the grub config after editing default,sudo update-grub
138,edit the grub default settings,sudo nano /etc/default/grub
139,add my ssh key to the root authorized keys,sudo mkdir -p /root/.ssh && cat ~/.ssh/id_ed25519.pub | sudo tee -a /root/.ssh/authorized_keys
140,create a swap file 4gb in size,sudo fallocate -l 4G /swapfile && sudo chmod 600 /swapfile && sudo mkswap /swapfile && sudo swapon /swapfile
141,turn off swap temporarily,sudo swapoff -a
142,turn swap back on,sudo swapon -a
143,mount my external drive sdb1 to /mnt/data,sudo mkdir -p /mnt/data && sudo mount /dev/sdb1 /mnt/data
144,unmount the cdrom,sudo umount /media/cdrom
145,force unmount this stuck drive,sudo umount -l /mnt/data
146,format the usb as fat32,sudo mkfs.vfat -F 32 /dev/sdb1
147,format the new disk as ext4,sudo mkfs.ext4 /dev/sdb1
148,check the filesystem on this disk,sudo fsck -y /dev/sdb1
149,show partition table for sda,sudo fdisk -l /dev/sda
150,list all block devices with mount info,sudo lsblk -f
151,clear out journalctl logs older than 2 weeks,sudo journalctl --vacuum-time=2weeks
152,limit journal logs to 500mb total,sudo journalctl --vacuum-size=500M
153,rotate the system logs now,sudo logrotate -f /etc/logrotate.conf
154,read the auth log,sudo cat /var/log/auth.log
155,see who tried to ssh in,sudo grep 'Failed password' /var/log/auth.log | tail -20
156,watch the apache error log live,sudo tail -f /var/log/apache2/error.log
157,clear the apache access log,sudo truncate -s 0 /var/log/apache2/access.log
158,load the wireguard kernel module,sudo modprobe wireguard
159,unload the bluetooth module,sudo modprobe -r btusb
160,see all loaded kernel modules,sudo lsmod
161,blacklist the nouveau module,echo 'blacklist nouveau' | sudo tee /etc/modprobe.d/blacklist-nouveau.conf
162,update the initramfs,sudo update-initramfs -u
163,reboot the machine,sudo reboot
164,shut down the computer,sudo shutdown -h now
165,schedule a shutdown in 30 minutes,sudo shutdown -h +30
166,cancel the scheduled shutdown,sudo shutdown -c
167,check disk health on sda,sudo smartctl -H /dev/sda
168,run a quick disk self test,sudo smartctl -t short /dev/sda
169,copy this script into /usr/local/bin so everyone can run it,sudo cp ~/scripts/deploy.sh /usr/local/bin/deploy && sudo chmod +x /usr/local/bin/deploy
170,install this python package system wide,sudo pip3 install requests
171,install a global npm package,sudo npm install -g typescript
172,write to /etc/environment,echo 'EDITOR=vim' | sudo tee -a /etc/environment
173,change the system locale to en_US,sudo update-locale LANG=en_US.UTF-8
174,regenerate the ca certificates,sudo update-ca-certificates
175,install a new font into the system fonts folder,sudo cp ~/Downloads/MyFont.ttf /usr/share/fonts/truetype/ && sudo fc-cache -fv
176,set the default python to python3,sudo update-alternatives --install /usr/bin/python python /usr/bin/python3 1
177,clear the systemd-resolve cache,sudo systemd-resolve --flush-caches
178,delete the contents of /var/cache/apt/archives,sudo rm -rf /var/cache/apt/archives/*.deb
179,clear the systemd journal for nginx unit,sudo journalctl --rotate && sudo journalctl --vacuum-time=1s --unit=nginx
180,rename a system binary to a backup name,sudo mv /usr/local/bin/oldcli /usr/local/bin/oldcli.bak
181,delete an unused systemd unit file,sudo rm /etc/systemd/system/oldapp.service && sudo systemctl daemon-reload
182,change the boot splash background,sudo cp ~/Pictures/splash.png /usr/share/plymouth/themes/spinner/watermark.png && sudo update-initramfs -u
183,add a new path to /etc/profile.d,echo 'export PATH=$PATH:/opt/mytool/bin' | sudo tee /etc/profile.d/mytool.sh
184,set immutable flag on resolv.conf so nothing changes it,sudo chattr +i /etc/resolv.conf
185,remove the immutable flag from resolv.conf,sudo chattr -i /etc/resolv.conf
186,touch a file in /var/log,sudo touch /var/log/myapp.log
