#,nl,bash
1,show disk usage for every mounted filesystem,df -h
2,show disk usage in human-readable format sorted by size,df -h | sort -k5 -rh
3,check how much space the /var directory is using,du -sh /var
4,find the top 10 largest directories under /home,du -h /home | sort -rh | head -10
5,find the top 10 largest files on the entire filesystem,find / -type f -printf '%s %p\n' 2>/dev/null | sort -rn | head -10
6,show inode usage for all filesystems,df -i
7,check which filesystem a file belongs to,df -h /var/log/syslog
8,add 4GB of swap space,sudo fallocate -l 4G /swapfile && sudo chmod 600 /swapfile && sudo mkswap /swapfile && sudo swapon /swapfile
9,show current swap usage,swapon --show
10,disable and remove the current swapfile,sudo swapoff /swapfile && sudo rm /swapfile
11,mount a USB drive at /mnt/usb,sudo mount /dev/sdb1 /mnt/usb
12,unmount the /mnt/usb filesystem,sudo umount /mnt/usb
13,show all currently mounted filesystems,mount | column -t
14,check filesystem integrity on /dev/sda1,sudo fsck -n /dev/sda1
15,list all block devices and their mount points,"lsblk -o NAME,SIZE,TYPE,MOUNTPOINT"
16,show the UUID of all block devices,sudo blkid
17,clean apt package cache,sudo apt-get clean
18,remove orphaned packages to free disk space,sudo apt-get autoremove -y
19,delete all files in /tmp older than 7 days,find /tmp -type f -mtime +7 -delete
20,show disk read/write statistics in real time,iostat -x 1
21,check SMART status of disk /dev/sda,sudo smartctl -a /dev/sda
22,resize the /dev/sda1 partition to use all available space,sudo growpart /dev/sda 1 && sudo resize2fs /dev/sda1
23,create a 2GB sparse file,truncate -s 2G /tmp/sparse.img
24,show filesystem type for all mounted devices,df -T
25,archive and compress /var/log to /backup/logs.tar.gz,sudo tar -czf /backup/logs.tar.gz /var/log
26,list all files larger than 500MB,find / -type f -size +500M 2>/dev/null
27,show how much space the docker images are using,docker system df
28,reclaim space from unused docker images and containers,docker system prune -f
29,show the 5 most recently modified files in /etc,find /etc -type f -printf '%T@ %p\n' | sort -rn | head -5 | awk '{print $2}'
30,monitor disk I/O per process,sudo iotop -o
31,benchmark sequential disk read speed on /dev/sda,sudo hdparm -t /dev/sda
32,show partition table of /dev/sda,sudo fdisk -l /dev/sda
33,compress a file with gzip and keep the original,gzip -k file.txt
34,extract a .tar.gz archive into /opt,sudo tar -xzf archive.tar.gz -C /opt
35,find duplicate files in /home by checksum,find /home -type f -exec md5sum {} + | sort | awk 'seen[$1]++ {print}'
